time,total_energy
0,0
2.097152,31.795629465405
4.194304,31.126148303095
6.291456,28.945373049537
8.388608,26.547105039062
10.48576,25.155538896445
12.582912,24.439897778804
14.680064,24.003237163356
17.825792,23.546680281112
22.544384,22.841820796511
27.262976,21.987168229809
31.981568,21.133880127524
36.70016,20.268659595154
41.418752,19.563958015878
46.137344,18.888177687532
50.855936,18.240422920248
55.574528,17.762499126109
60.29312,17.328449630119
65.011712,16.890721823357
69.730304,16.366161626049
74.448896,15.795969882762
79.167488,15.432011091372
83.88608,15.15381847001
88.604672,14.901571574558
93.323264,14.686404185467
98.041856,14.509104501623
102.760448,14.358678891287
109.838336,14.143661549343
116.916224,13.809480728236
123.994112,13.480886645262
131.072,13.22731576133
138.149888,12.955832588944
145.227776,12.746613761563
152.305664,12.536435240749
159.383552,12.365748259717
166.46144,12.274333191645
177.078272,12.190586657695
187.695104,12.071445744356
196.1885696,11.895172051235
204.6820352,11.752960481828
213.1755008,11.552496767439
221.6689664,11.412200250778
230.162432,11.340007337055
236.6854135808,11.295548620181
243.2083951616,11.221246077294
249.7313767424,11.148564711925
256.2543583232,11.07960591669
262.777339904,11.024648841259
272.5618122752,10.939654980809
282.3462846464,10.826131181441
292.1307570176,10.712338369997
301.9152293888,10.640920123243
311.69970176,10.574474077628
321.4841741312,10.509560847051
331.2686465024,10.463452804284
341.0531188736,10.436110443555
355.7298274304,10.409929231418
377.7448902656,10.363669326338
399.7599531008,10.302427181633
421.775015936,10.255312732661
435.86465615053,10.172602973468
449.95429636506,10.087476060494
464.04393657958,10.038066975658
478.13357679411,10.006111451059
499.2680371159,9.9702383130616
512.79409172185,9.9137668615579
523.61493540661,9.8269119257769
534.43577909137,9.7593748883278
543.09245403917,9.723088338343
550.01779399742,9.6831135110306
556.94313395566,9.6197625139373
563.86847391391,9.5312808151285
570.79381387215,9.4387054127918
577.7191538304,9.3216329272557
584.64449378864,9.1854634839161
591.56983374689,9.0536905329924
598.49517370513,8.7931329257302
605.42051366338,8.5753852100143
612.34585362162,8.4678522952534
620.65626157151,8.1830233005762
627.30458793143,8.0084915603262
633.95291429134,7.9596636738186
643.92540383122,7.9369324154659
658.88413814102,7.910096994105
670.85112558887,7.8551193783353
680.42471554715,7.8052915583947
689.99830550543,7.7722626962963
704.35869044284,7.7455075602281
725.89926784897,7.7288903267665
758.21013395816,7.7183957986912
806.67643312194,7.7092112361993
879.37588186761,7.6992994719056
988.42505498611,7.6884624657521
1075.6643934809,7.6816161662377
1145.4558642768,7.6747980864975
1201.2890409134,7.6632520920233
1245.9555822228,7.6539611786863
1290.6221235321,7.6467512325027
1357.6219354961,7.6393865434269
1458.1216534421,7.6332192114186
1558.6213713882,7.6300244052011
1709.3709483072,7.6279785218947
1935.4953136857,7.6270165507226
2274.6818617535,7.6267007685878
2783.4616838552,7.6266281560063
3546.6314170078,7.6266143504778
4691.3860167366,7.6266115588968
6408.5179163298,7.6266110425856
8984.2157657197,7.6266109792413
12847.762539805,7.6266109748423
18643.082700932,7.6266109746816
27336.062942623,7.6266109746787
40375.533305159,7.6266109746787
59934.738848963,7.6266109746787
89273.547164669,7.6266109746787
133281.75963823,7.6266109746787
199294.07834857,7.6266109746787
298312.55641408,7.6266109746787
446840.27351234,7.6266109746787
604800,7.6266109746787
