time,physical,total_energy,walltime
0,278884352,0,0.115559
2.097152,325263360,31.795629465405,2.316408
4.194304,325656576,31.126148303095,2.344114
6.291456,325988352,28.945373049537,2.371886
8.388608,326377472,26.547105039062,2.397569
10.48576,326746112,25.155538896445,2.422494
12.582912,327036928,24.439897778804,2.447731
14.680064,327217152,24.003237163356,2.468441
17.825792,327544832,23.546680281112,2.488781
22.544384,327909376,22.841820796511,2.524321
27.262976,328073216,21.987168229809,2.567721
31.981568,328347648,21.133880127524,2.604259
36.70016,328441856,20.268659595154,2.643625
41.418752,328548352,19.563958015878,2.674759
46.137344,328794112,18.888177687532,2.708673
50.855936,328962048,18.240422920248,2.738341
55.574528,329039872,17.762499126109,2.763197
60.29312,329236480,17.328449630119,2.788367
65.011712,329297920,16.890721823357,2.818555
69.730304,329547776,16.366161626049,2.85007
74.448896,329711616,15.795969882762,2.886978
79.167488,329981952,15.432011091372,2.910147
83.88608,330067968,15.15381847001,2.933647
88.604672,330203136,14.901571574558,2.958161
93.323264,330244096,14.686404185467,2.982453
98.041856,330440704,14.509104501623,3.00627
102.760448,330559488,14.358678891287,3.026054
109.838336,330743808,14.143661549343,3.056175
116.916224,330858496,13.809480728236,3.092412
123.994112,330895360,13.480886645262,3.123461
131.072,330969088,13.22731576133,3.153845
138.149888,331247616,12.955832588944,3.190241
145.227776,331350016,12.746613761563,3.225257
152.305664,331395072,12.536435240749,3.267385
159.383552,331464704,12.365748259717,3.297687
166.46144,331538432,12.274333191645,3.318054
177.078272,331595776,12.190586657695,3.342734
187.695104,331710464,12.071445744356,3.396702
196.1885696,331808768,11.895172051235,3.443305
204.6820352,331853824,11.752960481828,3.468238
213.1755008,331907072,11.552496767439,3.508667
221.6689664,331997184,11.412200250778,3.540485
230.162432,332075008,11.340007337055,3.559971
236.6854135808,332464128,11.295548620181,4.772274
243.2083951616,332496896,11.221246077294,4.800429
249.7313767424,332513280,11.148564711925,4.824532
256.2543583232,332521472,11.07960591669,4.853207
262.777339904,332603392,11.024648841259,4.872915
272.5618122752,332640256,10.939654980809,4.895602
282.3462846464,332726272,10.826131181441,4.933487
292.1307570176,332750848,10.712338369997,4.971397
301.9152293888,332775424,10.640920123243,4.999427
311.69970176,332787712,10.574474077628,5.033467
321.4841741312,332808192,10.509560847051,5.074089
331.2686465024,332816384,10.463452804284,5.098326
341.0531188736,332816384,10.436110443555,5.118407
355.7298274304,332857344,10.409929231418,5.138361
377.7448902656,332918784,10.363669326338,5.176125
399.7599531008,332939264,10.302427181633,5.222388
421.775015936,333041664,10.255312732661,5.252771
435.86465615053,333283328,10.172602973468,5.697405
449.95429636506,333287424,10.087476060494,5.739152
464.04393657958,333316096,10.038066975658,5.766424
478.13357679411,333332480,10.006111451059,5.787656
499.2680371159,333373440,9.9702383130616,5.812588
512.79409172185,333656064,9.9137668615579,6.328986
523.61493540661,333697024,9.8269119257769,6.369708
534.43577909137,333725696,9.7593748883278,6.397183
543.09245403917,333807616,9.723088338343,6.615219
550.01779399742,333885440,9.6831135110306,7.542262
556.94313395566,333897728,9.6197625139373,7.573704
563.86847391391,333905920,9.5312808151284,7.596327
570.79381387215,333910016,9.4387054127917,7.629858
577.7191538304,333934592,9.3216329272556,7.65402
584.64449378864,333959168,9.185463483916,7.688816
591.56983374689,333991936,9.0536905329923,7.711755
598.49517370513,334032896,8.79313292573,7.751811
605.42051366338,334032896,8.5753852100142,7.78523
612.34585362162,334090240,8.4678522952534,7.804661
620.65626157151,334163968,8.1830233005761,8.045876
627.30458793143,334168064,8.0084915603262,8.077634
633.95291429134,334168064,7.9596636738186,8.097183
643.92540383122,334180352,7.9369324154659,8.118164
658.88413814102,334229504,7.910096994105,8.144408
670.85112558887,334266368,7.8551193783353,8.765994
680.42471554715,334323712,7.8052915583947,8.795402
689.99830550543,334336000,7.7722626962963,8.815519
704.35869044284,334360576,7.7455075602281,8.835552
725.89926784897,334376960,7.7288903267665,8.856189
758.21013395816,334389248,7.7183957986912,8.872832
806.67643312194,334393344,7.7092112361993,8.890769
879.37588186761,334393344,7.6992994719056,8.910311
988.42505498611,334393344,7.6884624657521,8.938348
1075.6643934809,334450688,7.6816161662377,9.598747
1145.4558642768,334483456,7.6747980864975,10.515636
1201.2890409134,334540800,7.6632520920233,10.580252
1245.9555822228,334569472,7.6539611786863,10.617525
1290.6221235321,334573568,7.6467512325027,10.640544
1357.6219354961,334585856,7.6393865434269,10.664056
1458.1216534421,334643200,7.6332192114186,10.69295
1500,334655488,7.6314945424568,10.710028
